id_viaje,ruta,estacion_origen,estacion_destino,dia_semana,hora_salida,pasajeros,distancia_km,tiempo_viaje_min,incidente,temperatura_c,lluvia_mm,cluster,cluster_label
V0224,R5 - Occidental,Est. Portal 80,Est. Garces Navas,Domingo,19,348,8.12,15.4,0,14.2,8.3,0,0
V0225,R4 - Oriental,Est. Quirigua,Est. Ferias,Viernes,13,178,7.19,15.6,0,19.9,7.5,3,3
V0226,R1 - Centro,Est. Central,Est. Paloquemao,Viernes,5,169,11.68,26.2,0,13.0,2.9,0,0
V0227,R1 - Centro,Est. Central,Est. Paloquemao,Lunes,21,374,5.93,15.5,0,16.7,12.9,3,3
V0228,R2 - Norte,Est. Calle 100,Est. Toberin,Miercoles,15,321,8.97,15.9,1,17.7,10.2,3,3
V0229,R4 - Oriental,Est. Ferias,Est. Modelia,Jueves,13,189,12.64,30.6,0,13.5,12.6,2,2
V0230,R2 - Norte,Est. Alcala,Est. Calle 100,Miercoles,22,235,11.25,34.6,0,21.8,12.9,3,3
V0231,R2 - Norte,Est. Calle 100,Est. Alcala,Miercoles,20,338,15.44,32.5,0,15.0,11.2,2,2
V0232,R2 - Norte,Est. Toberin,Est. Alcala,Viernes,7,702,6.33,19.1,0,15.7,6.6,1,1
V0233,R3 - Sur,Est. Bosa,Est. Kennedy,Miercoles,8,550,13.92,35.0,0,15.7,9.2,2,2
V0234,R3 - Sur,Est. Kennedy,Est. Portal Sur,Sabado,14,178,7.02,15.8,0,15.1,2.4,0,0
V0235,R2 - Norte,Est. Toberin,Est. Portal Norte,Miercoles,8,756,6.29,11.5,1,13.0,10.1,1,1
V0236,R4 - Oriental,Est. Quirigua,Est. Modelia,Sabado,17,426,14.2,32.3,0,19.6,2.7,2,2
V0237,R1 - Centro,Est. Central,Est. Paloquemao,Domingo,5,266,4.97,10.0,0,21.7,10.4,1,1
V0238,R4 - Oriental,Est. La Granja,Est. Quirigua,Jueves,20,256,10.22,17.6,0,15.0,3.4,0,0
V0239,R5 - Occidental,Est. Minuto de Dios,Est. Avenida 68,Viernes,20,250,9.87,29.3,0,19.0,1.8,0,0
V0240,R3 - Sur,Est. Bosa,Est. Portal Sur,Miercoles,20,342,11.79,31.2,0,19.7,2.5,0,0
V0241,R1 - Centro,Est. La Sabana,Est. Paloquemao,Sabado,13,425,11.62,28.2,0,20.6,0.0,0,0
V0242,R1 - Centro,Est. Paloquemao,Est. Ricaurte,Sabado,13,302,3.94,9.4,0,16.8,10.8,3,3
V0243,R5 - Occidental,Est. Portal 80,Est. Minuto de Dios,Domingo,13,243,12.85,30.9,0,15.7,11.0,2,2
V0244,R5 - Occidental,Est. Portal 80,Est. Avenida 68,Sabado,10,141,16.37,29.4,0,15.9,7.7,2,2
V0245,R2 - Norte,Est. Toberin,Est. Calle 100,Martes,18,803,12.67,25.2,0,19.4,2.4,0,0
V0246,R3 - Sur,Est. NQS Sur,Est. Bosa,Lunes,17,552,20.74,43.9,0,20.4,1.3,2,2
V0247,R3 - Sur,Est. Portal Sur,Est. Kennedy,Jueves,6,411,7.3,18.8,0,14.6,0.3,0,0
V0248,R4 - Oriental,Est. Quirigua,Est. Modelia,Domingo,14,104,9.02,16.9,0,16.3,2.5,0,0
V0249,R2 - Norte,Est. Toberin,Est. Portal Norte,Domingo,18,782,8.82,15.5,0,21.1,13.4,3,3
V0250,R2 - Norte,Est. Calle 100,Est. Alcala,Miercoles,13,252,14.85,27.9,0,20.3,3.6,2,2
V0251,R2 - Norte,Est. Portal Norte,Est. Calle 100,Martes,9,493,18.06,60.1,0,21.9,5.3,2,2
V0252,R2 - Norte,Est. Calle 100,Est. Portal Norte,Miercoles,12,411,8.78,18.3,0,19.8,1.6,0,0
V0253,R3 - Sur,Est. NQS Sur,Est. Portal Sur,Miercoles,6,456,16.45,52.3,0,16.5,3.3,2,2
V0254,R3 - Sur,Est. Kennedy,Est. Portal Sur,Viernes,13,217,9.52,25.5,0,18.3,7.8,3,3
V0255,R2 - Norte,Est. Calle 100,Est. Portal Norte,Viernes,19,556,12.73,40.2,0,18.9,9.1,2,2
V0256,R4 - Oriental,Est. Ferias,Est. Modelia,Viernes,18,601,9.5,20.2,1,13.7,3.7,0,0
V0257,R1 - Centro,Est. La Sabana,Est. Central,Martes,18,716,12.26,24.8,0,17.9,0.9,0,0
V0258,R1 - Centro,Est. Ricaurte,Est. Paloquemao,Miercoles,18,665,9.07,27.3,0,19.4,5.9,0,0
V0259,R4 - Oriental,Est. La Granja,Est. Modelia,Lunes,17,576,8.28,20.3,0,14.5,3.5,0,0
V0260,R2 - Norte,Est. Portal Norte,Est. Toberin,Jueves,18,740,6.95,16.2,0,20.0,3.3,0,0
V0261,R3 - Sur,Est. NQS Sur,Est. Portal Sur,Viernes,6,499,8.81,21.8,0,18.3,14.4,1,1
V0262,R1 - Centro,Est. La Sabana,Est. Ricaurte,Viernes,17,824,5.72,17.1,0,21.6,9.2,3,3
V0263,R5 - Occidental,Est. Portal 80,Est. Avenida 68,Domingo,8,631,7.99,19.1,0,13.4,8.4,1,1
V0264,R5 - Occidental,Est. Garces Navas,Est. Avenida 68,Miercoles,16,364,15.04,29.3,0,15.4,6.2,2,2
V0265,R4 - Oriental,Est. Ferias,Est. Modelia,Miercoles,15,129,10.53,32.9,0,18.4,6.4,2,2
V0266,R2 - Norte,Est. Alcala,Est. Portal Norte,Martes,9,418,12.19,37.8,0,15.7,8.1,2,2
V0267,R1 - Centro,Est. Paloquemao,Est. Central,Martes,16,485,4.75,11.9,0,19.4,10.4,3,3
V0268,R2 - Norte,Est. Alcala,Est. Toberin,Viernes,11,382,16.51,29.1,0,19.8,10.5,2,2
V0269,R1 - Centro,Est. La Sabana,Est. Ricaurte,Miercoles,5,278,10.07,20.6,0,13.9,2.6,0,0
V0270,R4 - Oriental,Est. Quirigua,Est. Modelia,Lunes,7,484,5.28,10.7,0,17.6,7.5,1,1
V0271,R4 - Oriental,Est. Quirigua,Est. Ferias,Jueves,20,110,12.09,30.0,0,17.6,6.2,3,3
V0272,R5 - Occidental,Est. Portal 80,Est. Garces Navas,Miercoles,8,611,11.43,24.4,0,16.3,13.1,1,1
V0273,R2 - Norte,Est. Portal Norte,Est. Toberin,Domingo,20,295,6.54,21.6,0,21.4,9.5,3,3
V0274,R5 - Occidental,Est. Garces Navas,Est. Portal 80,Miercoles,19,378,10.43,21.7,0,20.4,8.0,3,3
V0275,R2 - Norte,Est. Toberin,Est. Calle 100,Sabado,8,837,11.7,20.9,0,19.3,1.7,1,1
V0276,R5 - Occidental,Est. Minuto de Dios,Est. Portal 80,Martes,7,671,6.99,14.8,0,19.4,9.1,1,1
V0277,R3 - Sur,Est. Portal Sur,Est. NQS Sur,Domingo,17,571,20.88,38.1,0,17.2,1.8,2,2
V0278,R3 - Sur,Est. Kennedy,Est. NQS Sur,Jueves,5,279,19.42,38.4,0,21.3,5.1,2,2
V0279,R3 - Sur,Est. Kennedy,Est. NQS Sur,Viernes,12,156,16.67,49.9,0,19.3,2.1,2,2
V0280,R3 - Sur,Est. Kennedy,Est. Bosa,Domingo,10,310,13.53,24.3,0,19.6,10.4,2,2
V0281,R1 - Centro,Est. Paloquemao,Est. Central,Miercoles,18,829,7.35,23.1,0,20.8,3.1,0,0
V0282,R3 - Sur,Est. Kennedy,Est. Portal Sur,Viernes,11,220,16.4,36.3,0,15.5,5.9,2,2
V0283,R4 - Oriental,Est. La Granja,Est. Ferias,Miercoles,6,341,10.36,30.4,0,20.3,13.4,1,1
V0284,R4 - Oriental,Est. Quirigua,Est. Ferias,Viernes,20,175,5.22,17.2,0,14.8,3.1,0,0
V0285,R1 - Centro,Est. Paloquemao,Est. Ricaurte,Jueves,7,762,8.23,19.6,0,16.1,7.6,1,1
V0286,R3 - Sur,Est. Portal Sur,Est. Kennedy,Martes,20,316,18.76,48.9,0,16.0,6.3,2,2
V0287,R3 - Sur,Est. Portal Sur,Est. Kennedy,Jueves,13,130,13.49,30.8,0,21.8,0.3,2,2
V0288,R3 - Sur,Est. Kennedy,Est. Bosa,Sabado,13,92,7.3,15.7,0,20.7,11.9,3,3
V0289,R5 - Occidental,Est. Garces Navas,Est. Avenida 68,Lunes,9,362,14.29,45.7,0,19.3,1.0,2,2
V0290,R2 - Norte,Est. Toberin,Est. Calle 100,Martes,20,281,8.07,24.1,0,19.5,7.1,3,3
V0291,R5 - Occidental,Est. Garces Navas,Est. Avenida 68,Jueves,9,367,8.08,17.6,0,18.1,8.4,1,1
V0292,R2 - Norte,Est. Portal Norte,Est. Toberin,Sabado,5,188,7.6,19.1,0,21.5,9.4,1,1
V0293,R3 - Sur,Est. Bosa,Est. Kennedy,Lunes,16,485,11.53,22.8,0,17.5,10.3,3,3
V0294,R3 - Sur,Est. NQS Sur,Est. Portal Sur,Sabado,14,157,18.01,37.1,0,16.4,3.8,2,2
V0295,R5 - Occidental,Est. Portal 80,Est. Avenida 68,Miercoles,21,205,11.15,20.7,0,14.5,0.1,0,0
V0296,R5 - Occidental,Est. Portal 80,Est. Avenida 68,Miercoles,18,607,7.45,15.0,0,20.1,10.9,3,3
V0297,R2 - Norte,Est. Alcala,Est. Calle 100,Viernes,9,462,16.74,39.7,0,19.6,8.0,2,2
V0298,R4 - Oriental,Est. La Granja,Est. Ferias,Martes,15,163,13.92,28.4,0,16.5,12.5,3,3
V0299,R2 - Norte,Est. Toberin,Est. Alcala,Miercoles,11,317,16.64,44.0,0,13.2,12.3,2,2
V0300,R5 - Occidental,Est. Minuto de Dios,Est. Garces Navas,Domingo,18,635,7.85,20.3,0,20.6,12.6,3,3
